Incident ID,Offence Code,Victims,Crime Against,Crime Name,Crime Category,Police District Name,Police District Number,City,State,Zip Code,Agency
201087096,2399,1,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087097,2303,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,WHEATON,4D,ROCKVILLE,MD,20906,MCPD
201087097,5202,1,Crime Against Society,Weapon Law Violations,WEAPON - CONCEALED,WHEATON,4D,ROCKVILLE,MD,20906,MCPD
201087097,5707,1,Crime Against Society,Trespass of Real Property,TRESPASSING,WHEATON,4D,ROCKVILLE,MD,20906,MCPD
201087100,1315,1,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - OTHER,GERMANTOWN,5D,GERMANTOWN,MD,20876,MCPD
201087102,3562,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087104,5311,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087108,1313,1,Crime Against Person,Simple Assault,ASSAULT - SIMPLE,GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087119,5707,1,Crime Against Society,Trespass of Real Property,TRESPASSING,ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087133,9199,1,Other,All Other Offenses,POLICE INFORMATION,BETHESDA,2D,ROCKVILLE,MD,20817,MCPD
201087133,2602,1,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - SWINDLE,BETHESDA,2D,ROCKVILLE,MD,20850,MCPD
201087135,3550,1,Crime Against Society,Drug Equipment Violations,DRUGS - NARCOTIC EQUIP - POSSESS,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087136,2903,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PUBLIC,SILVER SPRING,3D,TAKOMA PARK,MD,20912,MCPD
201087139,3512,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - POSSESS,ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087143,3582,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - BARBITURATE - POSSESS,SILVER SPRING,3D,SILVER SPRING,MD,20901,MCPD
201087143,3562,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,3D,SILVER SPRING,MD,20901,MCPD
201087148,3615,1,Crime Against Society,All Other Offenses,SEX OFFENSE - INDECENT EXPOSURE TO ADULT,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087148,5311,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087150,2589,1,Crime Against Property,Counterfeiting/Forgery,FORGERY (DESCRIBE OFFENSE),MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20877,GPD
